Neighborhood,Population,Calls,Calls_pr_100
Bayview Hunters Point,37600,14615,38
Bernal Heights,26140,4946,18
Castro/Upper Market,21090,7422,35
Chinatown,14820,6106,41
Excelsior,39340,5718,14
Financial District/South Beach,17460,21417,122
Glen Park,8210,1320,16
Golden Gate Park,90,1892,2102
Haight Ashbury,18050,4930,27
Hayes Valley,18250,7495,41
Inner Richmond,22500,3925,17
Inner Sunset,29120,4546,15
Japantown,3650,2524,69
Lakeshore,14300,4523,31
Lincoln Park,320,233,72
Lone Mountain/USF,18070,3820,21
Marina,25110,5409,21
McLaren Park,850,285,33
Mission,58640,26349,44
Mission Bay,10530,4131,39
Nob Hill,22300,10264,46
Noe Valley,18650,3165,16
North Beach,12600,6874,54
Oceanview/Merced/Ingleside,28010,3659,13
Outer Mission,24270,3814,15
Outer Richmond,44870,7677,17
Pacific Heights,24070,6380,26
Portola,16410,2662,16
Potrero Hill,13770,5283,38
Presidio,3830,1444,37
Presidio Heights,10720,2283,21
Russian Hill,17830,4997,28
Seacliff,2460,392,15
South of Market,19180,30312,158
Sunset/Parkside,81050,11127,13
Tenderloin,28220,39329,139
Treasure Island,3090,1978,64
Twin Peaks,7410,1481,19
Visitacion Valley,18570,3453,18
West of Twin Peaks,38180,6121,16
Western Addition,22220,10358,46
